"eventid";"iyear";"imonth";"iday";"approxdate";"extended";"resolution";"country";"country_txt";"region";"region_txt";"provstate";"city";"latitude";"longitude";"specificity";"vicinity";"location";"summary";"crit1";"crit2";"crit3";"doubtterr";"alternative";"alternative_txt";"multiple";"success";"suicide";"attacktype1";"attacktype1_txt";"attacktype2";"attacktype2_txt";"attacktype3";"attacktype3_txt";"targtype1";"targtype1_txt";"targsubtype1";"targsubtype1_txt";"corp1";"target1";"natlty1";"natlty1_txt";"targtype2";"targtype2_txt";"targsubtype2";"targsubtype2_txt";"corp2";"target2";"natlty2";"natlty2_txt";"targtype3";"targtype3_txt";"targsubtype3";"targsubtype3_txt";"corp3";"target3";"natlty3";"natlty3_txt";"gname";"gsubname";"gname2";"gsubname2";"gname3";"gsubname3";"motive";"guncertain1";"guncertain2";"guncertain3";"individual";"nperps";"nperpcap";"claimed";"claimmode";"claimmode_txt";"claim2";"claimmode2";"claimmode2_txt";"claim3";"claimmode3";"claimmode3_txt";"compclaim";"weaptype1";"weaptype1_txt";"weapsubtype1";"weapsubtype1_txt";"weaptype2";"weaptype2_txt";"weapsubtype2";"weapsubtype2_txt";"weaptype3";"weaptype3_txt";"weapsubtype3";"weapsubtype3_txt";"weaptype4";"weaptype4_txt";"weapsubtype4";"weapsubtype4_txt";"weapdetail";"nkill";"nkillus";"nkillter";"nwound";"nwoundus";"nwoundte";"property";"propextent";"propextent_txt";"propvalue";"propcomment";"ishostkid";"nhostkid";"nhostkidus";"nhours";"ndays";"divert";"kidhijcountry";"ransom";"ransomamt";"ransomamtus";"ransompaid";"ransompaidus";"ransomnote";"hostkidoutcome";"hostkidoutcome_txt";"nreleased";"addnotes";"scite1";"scite2";"scite3";"dbsource";"INT_LOG";"INT_IDEO";"INT_MISC";"INT_ANY";"related"
197000000001;1970;7;2;"";0;"";58;"Dominican Republic";2;"Central America & Caribbean";"National";"Santo Domingo";18.456792;-69.951164;1;0;"";"";1;1;1;0;"";"";0;1;0;1;"Assassination";"";"";"";"";14;"Private Citizens & Property";68;"Named Civilian";"";"Julio Guzman";58;"Dominican Republic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MANO-D";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"0";"";"";0;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;0;0;0;""
197000000002;1970;0;0;"";0;"";130;"Mexico";1;"North America";"Federal";"Mexico city";19.371887;-99.086624;1;0;"";"";1;1;1;0;"";"";0;1;0;6;"Hostage Taking (Kidnapping)";"";"";"";"";7;"Government (Diplomatic)";45;"Diplomatic Personnel (outside of embassy, consulate)";"Belgian Ambassador Daughter";"Nadine Chaval, daughter";21;"Belgium";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23rd of September Communist League";"";"";"";"";"";"";0;"";"";0;"7";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"0";"";"";0;"";"";"";"";1;"1";"0";"";"";"";"Mexico";1;"800000";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;1;1;1;""
197001000001;1970;1;0;"";0;"";160;"Philippines";5;"Southeast Asia";"Tarlac";"Unknown";15.478598;120.599741;4;0;"";"";1;1;1;0;"";"";0;1;0;1;"Assassination";"";"";"";"";10;"Journalists & Media";54;"Radio Journalist/Staff/Facility";"Voice of America";"Employee";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"0";"";"";0;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;1;1;""
197001000002;1970;1;0;"";0;"";78;"Greece";8;"Western Europe";"Attica";"Athens";37.99749;23.762728;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";7;"Government (Diplomatic)";46;"Embassy/Consulate";"";"U.S. Embassy";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"";"";"";"";"";"";1;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;1;1;""
197001000003;1970;1;0;"";0;"";101;"Japan";4;"East Asia";"Fukouka";"Fukouka";33.580412;130.396361;1;0;"";"";1;1;1;-9;"";"";0;1;0;7;"Facility/Infrastructure Attack";"";"";"";"";7;"Government (Diplomatic)";46;"Embassy/Consulate";"";"U.S. Consulate";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";8;"Incendiary";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Incendiary";"";"";"";"";"";"";1;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";-9;-9;1;1;""
197001020001;1970;1;2;"";0;"";218;"Uruguay";3;"South America";"Montevideo";"Montevideo";-34.891151;-56.187214;1;0;"";"";1;1;1;0;"";"";0;0;0;1;"Assassination";"";"";"";"";3;"Police";25;"Police Security Forces/Officers";"Uruguayan Police";"Juan Maria de Lucah/Chief of Directorate of info. and intell.";218;"Uruguay";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tupamaros (Uruguay)";"";"";"";"";"";"";0;"";"";0;"3";"";"";"";"";"";"";"";"";"";"";"";5;"Firearms";"2";"Automatic or Semi-Automatic Rifle";"";"";"";"";"";"";"";"";"";"";"";"";"Automatic firearm";"0";"";"";"0";"";"";0;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;0;0;0;""
197001050001;1970;1;1;"";0;"";217;"United States";1;"North America";"Wisconsin";"Baraboo";43.4685;-89.744299;1;0;"";"";1;1;0;1;"1";"Insurgency/Guerilla Action";0;0;0;3;"Bombing/Explosion";"";"";"";"";4;"Military";27;"Military Barracks/Base/Headquarters/Checkpost";"";"Badger Army ammo depot.";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Weather Underground, Weathermen";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"0";"";"";"0";"";"";0;"3";"Minor (likely < $1 million)";"0";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;0;0;0;""
197001080001;1970;1;8;"";0;"";98;"Italy";8;"Western Europe";"Lazio";"Rome";41.890961;12.490069;1;0;"";"";1;1;1;-9;"";"";0;1;0;4;"Hijacking";"";"";"";"";6;"Airports & Aircraft";42;"Aircraft (not at an airport)";"Trans World Airline";"Flight 802 Boeing 707";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unknown";"";"";"";"";"";"";0;"";"";0;"1";"";"";"";"";"";"";"";"";"";"";"";5;"Firearms";"4";"Rifle/Shotgun (non-automatic)";"5";"Firearms";"3";"Handgun";"";"";"";"";"";"";"";"";"Rifle - carbine; Pistols";"0";"0";"0";"0";"0";"0";0;"";"";"";"";0;"";"";"";"";"Beirut";"Beirut";0;"";"";"";"";"";"2";"Hostage(s) released by perpetrators";"";"";"";"";"";"Hijacking DB";-9;-9;1;1;""
197001100001;1970;1;10;"";0;"";499;"East Germany (GDR)";9;"Eastern Europe";"Berlin";"Berlin";52.50153;13.401851;1;0;"";"";1;1;1;0;"";"";0;1;0;3;"Bombing/Explosion";"";"";"";"";2;"Government (General)";0;"";"";"Jurists Ball (Palais au Frankturm)";75;"Germany";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Commune 1";"";"";"";"";"";"";0;"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";6;"Explosives";"16";"Unknown Explosive Type";"";"";"";"";"";"";"";"";"";"";"";"";"Explosive";"";"";"";"";"";"";0;"";"";"";"Damages: none, attempted to detonate device and were unsuccessful (Jurists Ball)";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;1;1;1;""
197001110001;1970;1;11;"";0;"";65;"Ethiopia";11;"Sub-Saharan Africa";"Unknown";"Unknown";0.0;0.0;5;0;"";"";1;1;0;1;"1";"Insurgency/Guerilla Action";0;1;0;9;"Unknown";"";"";"";"";4;"Military";34;"Military Personnel (soldiers, troops, officers, forces)";"U.S. Army";"Soldier";217;"United States";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Eritrean Liberation Front";"";"";"";"";"";"";0;"";"";0;"1";"";"";"";"";"";"";"";"";"";"";"";13;"Unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"0";"";"";0;"";"";"";"";0;"";"";"";"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"";"PGIS";0;1;1;1;""
